net,length_um
u_input_buffer.mem\[14\]\[4\],24.225µm
net1113,24.19µm
_2206_,24.14µm
u_input_buffer.mem\[28\]\[2\],24.12µm
_1759_,24.1µm
rom_addr\[3\],24.095µm
net851,24.075µm
_1281_,24.03µm
_2221_,24µm
_2351_,23.99µm
u_input_buffer.mem\[21\]\[6\],23.95µm
_2245_,23.9µm
_1419_,23.88µm
_1885_,23.695µm
_0837_,23.64µm
_1272_,23.545µm
_1707_,23.54µm
_2511_,23.53µm
_2517_,23.53µm
_1376_,23.52µm
_2277_,23.49µm
_1547_,23.48µm
_0877_,23.4µm
res_index\[1\],23.395µm
_2172_,23.34µm
_0559_,23.3µm
_0771_,23.3µm
_0788_,23.29µm
net1254,23.23µm
_2228_,23.22µm
_0802_,23.215µm
u_mac_4.temp_res\[14\],23.17µm
_1878_,23.125µm
_1890_,23.1µm
_2322_,23.05µm
_0924_,23.005µm
_1077_,23.005µm
_1766_,22.99µm
_2021_,22.99µm
res_index\[2\],22.94µm
_1139_,22.9µm
_1409_,22.89µm
u_input_buffer.mem\[11\]\[0\],22.88µm
_2457_,22.87µm
_0437_,22.865µm
u_mac_2.temp_res\[17\],22.84µm
u_mac_1.temp_res\[2\],22.82µm
_0978_,22.81µm
_0983_,22.8µm
_1543_,22.77µm
_2260_,22.645µm
u_mac_3.temp_res\[11\],22.645µm
_0381_,22.57µm
_1360_,22.57µm
_2371_,22.57µm
_0959_,22.53µm
_2174_,22.51µm
_0903_,22.45µm
u_input_buffer.mem\[10\]\[6\],22.45µm
_2204_,22.405µm
_2341_,22.4µm
u_input_buffer.mem\[2\]\[1\],22.38µm
net1027,22.365µm
_1869_,22.33µm
_1814_,22.315µm
u_input_buffer.mem\[23\]\[0\],22.28µm
_1809_,22.26µm
_1114_,22.22µm
_1709_,22.22µm
net1277,22.22µm
_1679_,22.21µm
_2165_,22.21µm
input_data[5],22.2µm
u_mac_3.temp_res\[5\],22.2µm
_1494_,22.185µm
_1012_,22.11µm
net112,22.11µm
_2100_,21.99µm
_1967_,21.985µm
_2047_,21.97µm
u_input_buffer.mem\[21\]\[4\],21.97µm
_0813_,21.96µm
_1469_,21.96µm
_2040_,21.96µm
u_input_buffer.mem\[9\]\[2\],21.96µm
u_input_buffer.mem\[27\]\[0\],21.925µm
net1267,21.91µm
u_input_buffer.mem\[31\]\[5\],21.875µm
_2163_,21.87µm
_2215_,21.85µm
_1375_,21.84µm
_1879_,21.84µm
_1923_,21.83µm
_1143_,21.79µm
_1183_,21.78µm
_1099_,21.745µm
_0818_,21.74µm
_1881_,21.74µm
_1535_,21.73µm
_1747_,21.715µm
_1098_,21.71µm
_1862_,21.67µm
u_input_buffer.mem\[21\]\[7\],21.67µm
_1062_,21.64µm
_2209_,21.62µm
_0550_,21.61µm
